Event ID,Crossed MODULE ID,Detector Type
194642,17,cylinder
194643,42,cylinder
194644,65,cylinder
194645,26,cylinder
194646,74,cylinder
194646,191,planar_right
194647,40,cylinder
194648,35,cylinder
194649,74,cylinder
194649,191,planar_right
194650,51,cylinder
194650,64,cylinder
194651,33,cylinder
194652,34,cylinder
194652,304,planar_right
194653,24,cylinder
194654,73,cylinder
194655,75,cylinder
194655,125,planar_right
194656,25,cylinder
194657,324,planar_right
194657,75,cylinder
194657,123,planar_right
194658,35,cylinder
194659,41,cylinder
194660,32,cylinder
194661,59,cylinder
194662,26,cylinder
194663,33,cylinder
194664,384,planar_left
194664,17,cylinder
194664,575,planar_left
194665,43,cylinder
194666,73,cylinder
194667,42,cylinder
194668,42,cylinder
